"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizacion saucedemo","Agregar un producto al carrito","PENDING","2024-01-13T17:25:52.4286235-05:00[America/Bogota]","0.0","0.12"
"Automatizacion saucedemo","Agregar un producto al carrito","SUCCESS","2024-01-14T17:54:06.7976378-05:00[America/Bogota]","0.0","6.56"
